№;Наименования товара ;Количество ;Цена 
1;Стакан бумажный 250 мл ;50 шт ;20тг 
2;Стакан бумажный 350 мл ;50 шт ;30тг 
3;Стакан бумажный 400 мл ;50 шт ;36тг 
4;Крышки d-80 с питейником 250 мл ;100 шт ;13тг 
5;Крышки d-80 с питейником 350 мл ;100 шт ;15тг
6;Крышки d-80 с питейником 400 мл ;100 шт ;6тг
7;Стаканы однаразовые 0,5 мл;50 шт ;8тг
8;Стаканы однаразовые 0,2 мл;50 шт ;16тг
9;Контейнер одноразовый 500 мл+ крышка ;100 шт ;50тг
10;Контейнер одноразовый 750 мл+ крышка ;100 шт ;56тг
11;Контейнер одноразовый 1000 мл+ крышка ;100 шт ;60тг
12;Контейнер однаразовый 1500 мл+ крышка ;100 шт ;68тг
13;Держатель для 4х стаканчиков ;130 шт;45тг
14;Держатель для 2х стаканчиков ;150 шт ;30тг 
15;Капхолдр (манжет)/ юбка для стаканов ;100 шт ;11тг
16;Ложки однаразовые столовые ;100 шт ;750тг
17;Вилки однаразовые ;100 шт ;750тг
18;Ложки однаразовые чайные ;100 шт ;687тг
19;Нож белый пластиковый ;100 шт ;812тг
20;Набор пикник 5 персон;1 уп;437тг
21;Суши палочки ;100 шт ;812тг
22;Палочки для шашлыка (шампура) 100 мм;100 шт ;212тг
23;Палочки для шашлыка (шампура) 150 мм;100 шт ;225тг
24;Палочки для шашлыка (шампура) 200 мм;100 шт ;237тг
25;Палочки для шашлыка (шампура) 300 мм;100 шт ;275тг
26;Палочки для шашлыка (шампура) 400 мм;100 шт ;375тг
27;Зубочистка в индивидуальной упаковке ;1000 шт ;875тг
28;Размешиватель деревянный в индив.упаковке 150*5*1,3 мм;1000 шт ;7тг
29;Размешиватель деревянный в индив.упаковке 178*6*1,3 мм;1000 шт ;9тг
30;Размешиватель деревянный 178*6*1,3;1000 шт ;3тг
31;Трубочки черные ;275 шт ;812тг
32;Трубочки цветные ;275 шт ;812тг
33;Трубочки в индивидуальной упаковке ;500 шт ;2750тг
34;Пакет для льда 192 шарика ;1 уп ;312тг
35;Сахар стик;250 шт ;9тг
36;Соль стик ;250 шт ;6тг
37;Перец стик ;250 шт ;10тг
38;Пика (узелок) 60 мм;100 шт ;875тг 
39;Пика (узелок) 100 мм;100 шт ;938тг 
40;Пика (меч) ;500 шт ;1500тг 
41;Тарелки плоские ;100 шт ;2250тг 
42;Тарелки глубокие ;100 шт ;2250тг 
43;Контейнер (супница) 500 мл ;100 шт ;69тг
44;Контейнер (супница) 750 мл ;100 шт ;75тг
45;Соуснички 30 мл ;;1125тг
46;Соуснички 50 мл ;;1188тг 
47;Соуснички 100 мл ;;1500тг 
48;Ланс бокс ;130 шт ;57тг
49;Ланч бокс 2х секционный ;130 шт ;57тг
50;Алюминевый контейнер + крышка 1900 мл ;100 шт ;188тг 
51;Алюминевый контейнер + крышка 1000 мл ;100 шт ;100тг 
52;Алюминевый контейнер + крышка ;100 шт ;225тг
53;Крафт пакет с кручеными ручками ;;75тг 
54;Крафт пакет с кручеными ручками ;;106тг 
55;Фольга 45 см 60м в футляре с ножом ;;4750тг 
56;"Бумажное полотенца ""Карина"", 2 шт ";14 шт ;4750тг 
57;"Бумажное полотенца ""Папирони"", 2 шт ";14 шт ;625тг 
58;"Бумажное полотенца ""Папирони"", 4 шт ";7 шт ;1188тг 
59;Вытяжные салфетки Bella ;75 шт ;1063тг 
60;Вытяжные салфетки 3 слойные в мягкой упаковке ;8 шт ;313тг 
61;Салфетки белые 24*24 - 100 шт ;60 шт ;125тг 
62;"Салфетки ""Дельфин"" (белые) 100 шт ";60 шт ;188тг 
63;Туалетная бумага Народный ;24 шт ;3225тг 
64;"Туалетная бумага ""Белоснежка"" ";12 шт ;2275тг 
65;"Туалетная бумага ""Набережные челны"" ";48 шт ;8928тг 
66;"Туалетная бумага ""Папия"" ";32 шт ;6500тг 
67;Настольные салфетки ;24 шт ;213тг
68;Карина Z-укладка ;24 шт ;450тг 
69;Z-укладка ;24 шт ;375тг 
70;Арома диффизор 100 мл ;;2430тг 
71;"Освежитель воздуха ""Glade"" в ассортименте ";12 шт ;1418тг 
72;"Освежитель воздуха ""Грасс"" в ассортименте ";12 шт ;1890тг 
73;"Освежитель воздуха ""Cold"" в ассортименте ";12 шт ;648тг 
74;Сменный баллон ;12 шт ;1485тг
75;Диспенсер для освежителя воздуха До-ре-ми с запаской ;;7290тг 
76;Мешочки ;;743тг 
77;Мешочки 900 гр ;;1215тг 
78;Майка 1000 гр ;;1890тг 
79;"Пакет ""Спасибо за покупку""";80 шт;1148тг 
80;"Пакет ""Рыбка""";;513тг 
81;Мешочки мусорные 35 л ;;311тг 
82;Мешочки мусорные 60 л ;;278тг 
83;Мешочки мусорные 120 л ;;473тг 
84;Мешочки мусорные 160 л ;;608тг 
85;Мешочки мусорные 240 л ;;1337тг 
86;Однаразовый фартук ;100 шт ;2268тг 
87;Однаразовый шампунь ;;41тг 
88;Однаразовый гель для душа ;;41тг 
89;Однаразовый зубная паста+щетка ;;1115тг 
90;Однаразовые тапочки эконом ;;203тг
91;Прихвадка руковица ;;2970тг
92;Маска медецинская на резинке, 3х слойная ;50 шт ;1148тг 
93;Бахилы ;100 шт ;648тг 
94;Перчатки нитровинил XL,S,M,L,XL;;1755тг 
95;Перчатки нитровинил Verde Vita XL,S,M,L,XL;;1620тг 
96;Перчатки резиновые желтые ;;338тг 
97;Перчатки гелевые желтые ;;513тг 
98;Губки ;10 шт ;540тг 
99;Губки ;5 шт;338тг 
100;"Губки ""Мега"" большие ";6 шт ;610тг 
101;Самарко жесткий;10 шт ;743тг 
102;Самарко мягкий;6 шт ;473тг 
103;"Тряпки для стола ""Германия"" ";3 шт ;473тг 
104;"Тряпки для стола ""Йорк"" ";3 шт ;610тг 
105;Микрофибра для стекла ;;513тг 
106;"Микрофибра ""Виомо""";;513тг 
107;Микрофибра синие;;513тг 
108;Вафельные полотенца 1 рул;;6075тг 
109;Ветошь для пола 1 рул;;12875тг 
110;Ветошь для пола 50*70;;203тг 
111;Ветошь для пола прошитый ;;473тг 
112;МОП 50 см;;2150тг 
113;МОП 40 см;;1890тг 
114;Насадки для швабры Йорк ;;1823тг 
115;Швабра 50 см+ насадка железная ;;5130тг 
116;Швабра 40 см+ насадка железная ;;3780тг 
117;Швабра 40 см+ насадки ;;2970тг 
118;Щетка утюжок простые ;;338тг 
119;Щетка утюжок жесткие ;;473тг 
120;Газ в баллончике ;;675тг 
121;Насадка для газ баллона с поджигом ;;1350тг
122;Крот сухой 90 гр ;;203тг 
123;Каустическая сода ;;1620тг 
124;Ерш для унитаза ;;1080тг 
125;Вантуз для раковины и унитаза ;;1553тг
126;Веник ;;1418тг 
127;Метла с совком;;1890тг 
128;Метла с совком;;2700тг 
129;Метла с совком;;3375тг 
130;Метла с совком;;4725тг 
131;Полироль Мебелюкс ;;1823тг 
132;"Средство для мытья посуды ""Муравей"" 5л конистра";;4725тг 
133;"Средство для мытья посуды ""Муравей"" 5л бутылка ";;3105тг 
134;"Средство для мытья посуды ""FAIRY"" 900 мл ";;1958тг
135;"Средство для мытья посуды ""FAIRY"" 450 мл ";;1215тг 
136;"Средство для мытья посуды ""FAIRY"" 5л ";;9315тг 
137;"Средство для мытья стекла ""Грасс"" 600 мл ";;1620тг 
138;"Средство для мытья стекл ""Mister Muscle"", с дозатором ";;1958тг 
139;"Средство для мытья полов ""Mr Proper"" 1000 мл ";;1890тг 
140;Стикер Утенок ;3 шт ;1080тг 
141;"Средство для унитаза ""Утенок"" 500 мл ";;1418тг 
142;"Средство для унитаза ""Утенок"" 900 мл ";;2228тг 
143;"Белизна ""Целиноград"" в упаковке 15 шт ";;405тг 
144;"Белезна ""Волгоград"" в упаковке 16 шт ";;743тг 
145;"Белизна гель ""Целиноград"" 1 л";;743тг 
146;"Белизна гель ""Волгоград"" 1 л";;1215тг 
147;"Чистяющее средство ""Domestos"" 1000мл в ассортименте ";;1485тг 
148;"Чистяющее средство ""Cif"" 500 мл в ассортименте ";;1553тг 
149;"Чистяющее средство ""Sanfor"" 750 мл ";;1688тг 
150;"Чистяющее средство ""Грасс"" 750 мл ";;1620тг 
151;"Чистяюще средство ""Санокс Гель"" 750 мл ";;1148тг 
152;"Чистяющее средство ""Сомет"" 475 гр ";;608тг 
153;"Чистяющее средство ""Чистин"" 400 гр ";;608тг 
154;"Чистяющее средство ""Санчист"" 400 гр ";;540тг 
155;"Чистяющее средство ""Сарма"" 400 гр ";;878тг 
156;Отбеливатель Таза 500 гр в мягкой упаковке ;;2565тг
157;Отбеливатель Таза 1000 гр в банке;;4050тг 
158;Чистяющее средство Grill Professional 600 мл ;;2025тг 
159;Азелит 5л ;;10530тг 
160;Азелит оригинал спрей 600 мл ;;1958тг 
161;Санита антижир спрей 600 мл ;;1755тг 
162;"Отбеливатель ""Vanish"" 450 мл ";;1755тг 
163;"Шампунь ""Vanish"" для ковров 450 мл ";;2970тг
164;Средство для удаления пятен Грасс ;;2295тг 
165;Аромика Казан 0,5 л;;810тг 
166;Ручки синие Обама в упаковке 50 шт ;;2025тг 
167;Ручки Макс Рейтер черный, красный, синий 10 шт ;;1283тг 
168;Ручки золото 12 шт ;;1755тг 
169;Регистр ;;945тг 
170;Дырокол ;;2025тг 
171;Степлер 207-24/6 ;;1080тг 
172;Скобы 24/6 ;;162тг 
173;Журнал синий;;810тг 
174;Карандаши простые 10 шт ;;473тг 
175;Накладные зеленые ;;243тг 
176;Накладные с копиркой ;;473тг 
177;Ножницы канцелярские;;473тг 
178;Стикеры канцелярские ;;810тг 
179;Резинки для денег ;;608тг 
180;Клей карандаш 25 гр ;;338тг 
181;Корректор ручка;;243тг 
182;Ватные палочки 200 шт в банке ;;608тг 
183;Ватные палочки 200 шт в мягкой уп;;473тг 
184;Ватные диски 150 шт ;;810тг 
185;Ватные диски 100 шт ;;675тг 
186;"Крем ""Бархатные ручки"" 75 мл в ассортименте ";;810тг 
187;Крем для рук 500 мл ;;2430тг 
188;"Мицелярная вода ""Nivea"" 400 мл ";;2730тг 
189;"Прокладки ""Kotex"" 10 шт";;837тг 
190;"Ежедневки ""Kotex"" 20 шт";;608тг 
191;"Женский дезодарант ""Rexona""150 мл ";;1890тг 
192;"Мужской дезодарант ""Rexona""150 мл ";;1890тг 
193;"Мужской дезодарант ""AXE""";;2025тг 
194;"Мужской дезодорант ""Old Spice"" стик";;2160тг 
195;Антисептик 5л;;5130тг 
196;"Мыло хозяйственное ""Barf"" 5 шт ";;945тг 
197;"Мыло хозяйственное ""Duru"", 500 , 4 шт ";;1485тг 
198;Мыло хозяйственное от пятен Китай 2 шт ;;1215тг 
199;Мыло хозяйственное 200 гр ;;270тг 
200;Мыло хозяйственное 300 гр ;;405тг 
201;"Мыло жидкое ""Хозяйственное"" 65% 1100 мл ";;1755тг 
202;"Мыло жидкое ""Хозяйственное"" 72% 1100 мл ";;1890тг 
203;Мыло жидкое для рук 1 л ;;1418тг 
204;Крем-мыло жидкое для рук Ярко 5л конистра ;;2970тг 
205;Крем-мыло жидкое для рук Ярко 5л бутылка ;;1890тг 
206;Крем-мыло жидкое для рук Милана 5л бутылка ;;4388тг 
207;Гель для стирки Sa,5 л ;;2970тг 
208;Гель для стирки Daf, 5л ;;3645тг 
209;"Порошок стиральный жидкий ""Persil"" 2,145л, кг";;8370тг 
210;"Порошок стиральный  ""Ariel""  15 кг, автомат ";;20925тг 
211;"Порошок стиральный ""Ariel""  6 кг, автомат ";;8775тг 
212;"Порошок стиральный ""Ariel""  3 кг, автомат ";;5130тг 
213;"Порошок универсальный ""Мистер Пропер"" 400 гр ";;1215тг 
214;"Порошок стиральный ""Ушастый нянь"" 9 кг";;14175тг
215;"Порошок стиральный ""Ушастый нянь"" 2,4 кг";;4725тг 
216;"Батарейка ""Duracell"" мизинчик 2 шт ";;473тг 
217;"Батарейка ""Duracell"" пальчиковые 2 шт ";;473тг 
218;"Батарейки ""Победа"" мизинчик ";;68тг 
219;"Батарейки ""Победа"" пальчиковые ";;68тг
220;Скотч концелярский ;;135тг 
221;Скотч 45/160;;675тг 
222;Скотч 45/100;;405тг 
