Категория;ед.изм;Наименование;продажа
ОВОЩИ ;кг.;Картофель;390
ОВОЩИ ;кг.;Лук;380
ОВОЩИ ;кг.;Морковь;350
ОВОЩИ ;кг.;Капуста;300
ОВОЩИ ;кг.;Свекла;380
ОВОЩИ ;кг.;Чеснок;1950
ОВОЩИ ;кг.;Помидоры;1415
ОВОЩИ ;кг.;Помидоры черри красные;1950
ОВОЩИ ;кг.;Помидоры черри желтые;2050
ОВОЩИ ;кг.;Огурцы;1170
ОВОЩИ;кг.;Болгарский перец (светофор);1860
ОВОЩИ;кг.;Дунганский перец;1950
ОВОЩИ;кг.;Чили перец;1800
ОВОЩИ;кг.;Баклажаны;1650
ОВОЩИ;кг.;Цукини;1380
ОВОЩИ;кг.;Шампиньоны;3100
ОВОЩИ;кг.;Редис;750
ОВОЩИ;кг.;Сельдерей;1560
ОВОЩИ;кг.;Броккли;1500
ОВОЩИ;кг.;Имбирь;1950
ЗЕЛЕНЬ;кг.;Базилик;16500
ЗЕЛЕНЬ;кг.;Розмарин;9100
ЗЕЛЕНЬ;кг.;Тимьян;9100
ЗЕЛЕНЬ;кг.;Мята;2860
ЗЕЛЕНЬ;пуч.;Базилик 0,1 кг;2500
САЛАТЫ;кг.;Листья салата;1790
САЛАТЫ;кг.;Лола росса;2590
САЛАТЫ;кг.;Руккола;2860
САЛАТЫ;кг.;Айсберг;1890
САЛАТЫ;кг.;Романо;4200
ФРУКТЫ;кг.;Яблоки красные;1105
ФРУКТЫ;кг.;Яблоки зелёные;1690
ФРУКТЫ;кг.;Груши;1560
ФРУКТЫ;кг.;Бананы;1450
ФРУКТЫ;кг.;Мандарины;1350
ФРУКТЫ;кг.;Апельсины;1350
ФРУКТЫ;кг.;Грейпфрут;1950
ФРУКТЫ;кг.;Лимоны;1950
ФРУКТЫ;кг.;Лайм;3750
ФРУКТЫ;кг.;Ананасы;1800
ФРУКТЫ;кг.;Киви;1500
ФРУКТЫ;кг.;Авокадо;975
ФРУКТЫ;кг.;Виноград;2450
ЯГОДЫ;кг.;Клубника упаковка;2700
ЯГОДЫ;пачка.;Малина;4000
ЯГОДЫ;пачка.;Голубика;1225
;;;
